Timestamp,video_id,Filename,Prompt,Style,rfc,cfg,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,
2025-08-13 12:42:44,ApplyMakeup,animation-0000.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime1,0.3,5,0.2251,16.6921,0.9684,0.7712,
2025-08-13 12:42:59,ApplyMakeup,animation-0003_prior0.1.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime1,0.1,5,0.2819,16.6537,0.9198,0.7077,
2025-08-13 12:43:17,ApplyMakeup,animation-0002_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime1,0.3,9,0.2269,17.0815,0.9671,0.7704,
2025-08-13 12:43:28,ApplyMakeup,animation-0006_prior0.1_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime1,0.1,9,0.2765,17.3133,0.9132,0.7142,
2025-08-13 12:43:51,ApplyMakeup,animation-0001_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime1,0.3,12,0.2494,16.9491,0.9604,0.7463,
2025-08-13 12:44:04,ApplyMakeup,Xanimation-0005_prior0.1_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime1,0.1,12,0.2827,16.8796,0.9185,0.7091,
2025-08-13 12:45:49,ApplyMakeup,animation-0000.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime2,0.3,5,0.2121,16.0159,0.98,0.786,
2025-08-13 12:46:00,ApplyMakeup,animation-0001_prior0.1.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime2,0.1,5,0.235,17.471,0.9423,0.7591,
2025-08-13 12:46:12,ApplyMakeup,animation-0004_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime2,0.3,9,0.2561,17.4691,0.9706,0.741,
2025-08-13 12:46:26,ApplyMakeup,Xanimation-0003_prior0.1_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime2,0.1,9,0.2559,17.7514,0.9504,0.7386,
2025-08-13 12:46:45,ApplyMakeup,animation-0005_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime2,0.3,12,0.2639,18.2362,0.968,0.7325,
2025-08-13 12:47:41,ApplyMakeup,animation-0002_prior0.1_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, anime style",anime2,0.1,12,0.2284,17.7941,0.9446,0.766,
2025-08-12 23:32:40,ApplyMakeup,animation-0000.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.3,5,0.2299,16.555,0.9766,0.7679,
2025-08-12 23:32:58,ApplyMakeup,animation-0001_prior0.1.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.1,5,0.2992,17.5669,0.9342,0.6924,
2025-08-12 23:33:10,ApplyMakeup,animation-0004_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.3,9,0.2459,17.0003,0.9615,0.7501,
2025-08-12 23:33:27,ApplyMakeup,animation-0002_prior0.1_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.1,9,0.2965,17.8623,0.8962,0.689,
2025-08-12 23:33:41,ApplyMakeup,animation-0005_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.3,12,0.2213,17.3702,0.9598,0.7746,
2025-08-12 23:33:50,ApplyMakeup,animation-0003_prior0.1_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, mecha style",mecha,0.1,12,0.3029,17.8004,0.861,0.6775,
2025-08-12 23:23:42,ApplyMakeup,animation-0000.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, pixel art style",pixel,0.3,5,0.2108,17.0011,0.9723,0.7868,
2025-08-12 23:24:04,ApplyMakeup,animation-0001_prior0.1.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, pixel art style",pixel,0.1,5,0.2811,16.7997,0.9568,0.7142,
2025-08-12 23:25:04,ApplyMakeup,animation-0004_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, pixel art style",pixel,0.3,9,0.2361,17.2465,0.9734,0.7612,
2025-08-12 23:25:21,ApplyMakeup,animation-0002_prior0.1_cfg9.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, pixel art style",pixel,0.1,9,0.2966,17.373,0.9476,0.6975,
2025-08-12 23:25:38,ApplyMakeup,animation-0005_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, pixel art style",pixel,0.3,12,0.2399,17.2982,0.9726,0.7578,
2025-08-12 23:25:48,ApplyMakeup,animation-0003_prior0.1_cfg12.mp4,"A focused woman carefully applies eyeliner with a thin brush in her bathroom, pixel art style",pixel,0.1,12,0.2907,17.5511,0.9655,0.7054,
2025-08-13 13:17:48,BoxingPunchingBag,animation-0000.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime1,0.3,5,0.347,18.9777,0.9501,0.6467,
2025-08-13 13:18:01,BoxingPunchingBag,animation-0001.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime1,0.1,5,0.3595,18.6348,0.9522,0.6354,XXX
2025-08-13 13:18:10,BoxingPunchingBag,animation-0002.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime1,0.3,9,0.3526,19.6225,0.957,0.642,
2025-08-13 13:18:26,BoxingPunchingBag,animation-0003.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime1,0.1,9,0.3353,17.9586,0.9028,0.654,
2025-08-13 13:18:39,BoxingPunchingBag,animation-0004.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime1,0.3,12,0.3408,19.1497,0.9154,0.6478,
2025-08-13 13:18:48,BoxingPunchingBag,animation-0005.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime1,0.1,12,0.3272,17.7057,0.9233,0.6628,
2025-08-13 13:29:42,BoxingPunchingBag,animation-0000.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.3,5,0.3622,19.3644,0.9569,0.632499992847443,
2025-08-13 13:29:59,BoxingPunchingBag,animation-0001.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.1,5,0.3831,18.188,0.9546,0.612200021743774,XXX
2025-08-13 13:30:08,BoxingPunchingBag,animation-0002.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.3,9,0.3538,17.903,0.9291,0.639100015163422,
2025-08-13 13:30:16,BoxingPunchingBag,animation-0003.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.1,9,0.3808,18.8734,0.9577,0.614099979400635,
2025-08-13 13:30:57,BoxingPunchingBag,animation-0004.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.3,12,0.3161,18.3417,0.8969,0.674899995326996,
2025-08-13 13:31:06,BoxingPunchingBag,animation-0005.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, anime style",anime2,0.1,12,0.3647,17.9393,0.9714,0.6317999958992,
2025-08-13 13:12:06,BoxingPunchingBag,animation-0000.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, mecha style",mecha,0.3,5,0.3404,18.649,0.951,0.6539,
2025-08-13 13:12:22,BoxingPunchingBag,animation-0001.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, mecha style",mecha,0.1,5,0.3634,18.0286,0.9097,0.6276,
2025-08-13 13:12:30,BoxingPunchingBag,animation-0002.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, mecha style",mecha,0.3,9,0.3591,18.5984,0.918,0.632,XXX
2025-08-13 13:12:39,BoxingPunchingBag,animation-0003.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, mecha style",mecha,0.1,9,0.3514,18.7575,0.9025,0.6378,
2025-08-13 13:12:47,BoxingPunchingBag,animation-0004.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, mecha style",mecha,0.3,12,0.3527,18.6442,0.9343,0.6384,
2025-08-13 13:12:55,BoxingPunchingBag,animation-0005.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, mecha style",mecha,0.1,12,0.3318,18.4204,0.9122,0.6594,
2025-08-13 13:03:28,BoxingPunchingBag,animation-0000.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, pixel art style",pixel,0.3,5,0.3508,18.0143,0.9237,0.6374,XXX
2025-08-13 13:03:43,BoxingPunchingBag,animation-0001.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, pixel art style",pixel,0.1,5,0.3542,17.5116,0.8845,0.6298,XXX
